studio_name,year,quarter,blog_score
AI/ML Studio,2020.0,Q2,10.0
AI/ML Studio,2021.0,Q2,10.0
AI/ML Studio,2021.0,Q3,15.0
AI/ML Studio,2021.0,Q4,15.0
AI/ML Studio,2022.0,Q1,60.0
AI/ML Studio,2022.0,Q2,0.0
Account Management,2020.0,Q2,5.0
Agile Studio,2021.0,Q2,0.0
Agile Studio,2021.0,Q3,5.0
Agile Studio,2021.0,Q4,5.0
Agile Studio,2022.0,Q1,45.0
DevOps Studio,2019.0,Q1,15.0
DevOps Studio,2019.0,Q2,5.0
DevOps Studio,2019.0,Q3,25.0
DevOps Studio,2019.0,Q4,25.0
DevOps Studio,2020.0,Q1,20.0
DevOps Studio,2020.0,Q2,40.0
DevOps Studio,2020.0,Q3,35.0
DevOps Studio,2020.0,Q4,35.0
DevOps Studio,2021.0,Q1,10.0
DevOps Studio,2021.0,Q2,15.0
DevOps Studio,2021.0,Q3,20.0
DevOps Studio,2021.0,Q4,20.0
DevOps Studio,2022.0,Q1,195.0
DevOps Studio,2022.0,Q2,25.0
Engineering Operations,2016.0,Q2,10.0
Engineering Operations,2018.0,Q1,0.0
Engineering Operations,2019.0,Q1,5.0
Engineering Operations,2019.0,Q2,5.0
Engineering Operations,2019.0,Q3,0.0
Engineering Operations,2019.0,Q4,0.0
Engineering Operations,2020.0,Q1,5.0
Engineering Operations,2021.0,Q1,5.0
Frontend Studio,2019.0,Q1,10.0
Frontend Studio,2019.0,Q2,0.0
Frontend Studio,2019.0,Q3,0.0
Frontend Studio,2019.0,Q4,0.0
Frontend Studio,2020.0,Q2,15.0
Frontend Studio,2020.0,Q3,25.0
Frontend Studio,2020.0,Q4,25.0
Frontend Studio,2021.0,Q2,15.0
Frontend Studio,2021.0,Q3,50.0
Frontend Studio,2021.0,Q4,50.0
Frontend Studio,2022.0,Q1,15.0
Frontend Studio,2022.0,Q2,10.0
Java Studio,2015.0,Q2,5.0
Java Studio,2015.0,Q3,5.0
Java Studio,2015.0,Q4,5.0
Java Studio,2016.0,Q1,10.0
Java Studio,2016.0,Q2,10.0
Java Studio,2016.0,Q3,15.0
Java Studio,2016.0,Q4,15.0
Java Studio,2017.0,Q1,5.0
Java Studio,2017.0,Q3,5.0
Java Studio,2017.0,Q4,5.0
Java Studio,2018.0,Q2,10.0
Java Studio,2018.0,Q3,15.0
Java Studio,2018.0,Q4,15.0
Java Studio,2019.0,Q1,10.0
Java Studio,2019.0,Q2,5.0
Java Studio,2019.0,Q3,0.0
Java Studio,2019.0,Q4,0.0
Java Studio,2020.0,Q1,40.0
Java Studio,2020.0,Q2,35.0
Java Studio,2020.0,Q3,45.0
Java Studio,2020.0,Q4,45.0
Java Studio,2021.0,Q1,20.0
Java Studio,2021.0,Q2,25.0
Java Studio,2021.0,Q3,30.0
Java Studio,2021.0,Q4,30.0
Java Studio,2022.0,Q1,60.0
Java Studio,2022.0,Q2,15.0
Learning and Development,2021.0,Q2,5.0
Learning and Development,2021.0,Q3,0.0
Learning and Development,2021.0,Q4,0.0
Lightbend CoE,2014.0,Q1,15.0
Lightbend CoE,2014.0,Q2,55.0
Lightbend CoE,2014.0,Q3,20.0
Lightbend CoE,2014.0,Q4,20.0
Lightbend CoE,2015.0,Q1,5.0
Lightbend CoE,2015.0,Q2,10.0
Lightbend CoE,2015.0,Q3,5.0
Lightbend CoE,2015.0,Q4,5.0
Lightbend CoE,2016.0,Q1,20.0
Lightbend CoE,2016.0,Q2,10.0
Lightbend CoE,2016.0,Q3,15.0
Lightbend CoE,2016.0,Q4,15.0
Lightbend CoE,2017.0,Q1,10.0
Lightbend CoE,2017.0,Q2,15.0
Lightbend CoE,2017.0,Q3,10.0
Lightbend CoE,2017.0,Q4,10.0
Lightbend CoE,2018.0,Q1,5.0
Lightbend CoE,2018.0,Q2,20.0
Lightbend CoE,2019.0,Q1,5.0
Lightbend CoE,2019.0,Q2,10.0
Lightbend CoE,2019.0,Q3,0.0
Lightbend CoE,2019.0,Q4,0.0
Lightbend CoE,2020.0,Q1,0.0
Lightbend CoE,2020.0,Q2,40.0
Lightbend CoE,2020.0,Q3,10.0
Lightbend CoE,2020.0,Q4,10.0
Lightbend CoE,2021.0,Q1,20.0
Lightbend CoE,2021.0,Q2,5.0
Lightbend CoE,2021.0,Q3,5.0
Lightbend CoE,2021.0,Q4,5.0
Lightbend CoE,2022.0,Q1,20.0
Management,2010.0,Q2,70.0
Management,2010.0,Q3,95.0
Management,2010.0,Q4,95.0
Management,2011.0,Q1,55.0
Management,2011.0,Q2,60.0
Management,2011.0,Q3,35.0
Management,2011.0,Q4,35.0
Management,2012.0,Q1,20.0
Management,2012.0,Q2,5.0
Management,2012.0,Q3,35.0
Management,2012.0,Q4,35.0
Management,2013.0,Q1,25.0
Management,2013.0,Q2,15.0
Management,2013.0,Q3,15.0
Management,2013.0,Q4,15.0
Management,2014.0,Q1,25.0
Management,2014.0,Q2,15.0
Management,2014.0,Q3,5.0
Management,2014.0,Q4,5.0
Management,2015.0,Q2,5.0
Management,2015.0,Q3,15.0
Management,2015.0,Q4,15.0
Management,2016.0,Q1,25.0
Management,2016.0,Q2,15.0
Management,2016.0,Q3,15.0
Management,2016.0,Q4,15.0
Management,2017.0,Q1,10.0
Management,2017.0,Q2,5.0
Management,2017.0,Q3,10.0
Management,2017.0,Q4,10.0
Management,2018.0,Q1,5.0
Management,2018.0,Q2,5.0
Management,2018.0,Q3,5.0
Management,2018.0,Q4,5.0
Management,2019.0,Q1,35.0
Management,2019.0,Q2,15.0
Management,2019.0,Q3,5.0
Management,2019.0,Q4,5.0
Management,2020.0,Q1,10.0
Management,2020.0,Q2,15.0
Management,2020.0,Q3,5.0
Management,2020.0,Q4,5.0
Management,2021.0,Q1,5.0
Management,2022.0,Q1,5.0
Marketing,2018.0,Q2,10.0
Marketing,2018.0,Q3,5.0
Marketing,2018.0,Q4,5.0
Marketing,2019.0,Q1,5.0
Marketing,2019.0,Q2,10.0
Marketing,2019.0,Q3,5.0
Marketing,2019.0,Q4,5.0
Marketing,2020.0,Q1,10.0
Marketing,2020.0,Q2,25.0
Marketing,2020.0,Q3,20.0
Marketing,2020.0,Q4,20.0
Marketing,2021.0,Q1,20.0
Marketing,2021.0,Q2,10.0
Marketing,2021.0,Q3,35.0
Marketing,2021.0,Q4,35.0
Rust Studio,2019.0,Q1,40.0
Rust Studio,2019.0,Q2,10.0
Rust Studio,2019.0,Q3,25.0
Rust Studio,2019.0,Q4,25.0
Rust Studio,2020.0,Q1,0.0
Rust Studio,2020.0,Q2,15.0
Rust Studio,2020.0,Q3,10.0
Rust Studio,2020.0,Q4,10.0
Rust Studio,2021.0,Q1,15.0
Rust Studio,2021.0,Q2,20.0
Rust Studio,2021.0,Q3,55.0
Rust Studio,2021.0,Q4,55.0
Scala Studio,2014.0,Q1,10.0
Scala Studio,2014.0,Q2,10.0
Scala Studio,2014.0,Q3,15.0
Scala Studio,2014.0,Q4,15.0
Scala Studio,2015.0,Q2,10.0
Scala Studio,2015.0,Q3,5.0
Scala Studio,2015.0,Q4,5.0
Scala Studio,2016.0,Q1,15.0
Scala Studio,2016.0,Q2,5.0
Scala Studio,2016.0,Q3,10.0
Scala Studio,2016.0,Q4,10.0
Scala Studio,2017.0,Q1,25.0
Scala Studio,2017.0,Q2,10.0
Scala Studio,2017.0,Q3,10.0
Scala Studio,2017.0,Q4,10.0
Scala Studio,2018.0,Q1,40.0
Scala Studio,2018.0,Q2,15.0
Scala Studio,2018.0,Q3,5.0
Scala Studio,2018.0,Q4,5.0
Scala Studio,2019.0,Q1,10.0
Scala Studio,2019.0,Q2,15.0
Scala Studio,2019.0,Q3,5.0
Scala Studio,2019.0,Q4,5.0
Scala Studio,2020.0,Q1,15.0
Scala Studio,2020.0,Q2,45.0
Scala Studio,2020.0,Q3,40.0
Scala Studio,2020.0,Q4,40.0
Scala Studio,2021.0,Q1,15.0
Scala Studio,2021.0,Q2,45.0
Scala Studio,2021.0,Q3,60.0
Scala Studio,2021.0,Q4,60.0
Scala Studio,2022.0,Q1,100.0
Scala Studio,2022.0,Q2,40.0
Test Automation Studio,2016.0,Q1,5.0
Test Automation Studio,2017.0,Q1,10.0
Test Automation Studio,2018.0,Q1,0.0
Test Automation Studio,2018.0,Q2,0.0
Test Automation Studio,2018.0,Q3,0.0
Test Automation Studio,2018.0,Q4,0.0
Test Automation Studio,2019.0,Q2,0.0
Test Automation Studio,2019.0,Q3,0.0
Test Automation Studio,2019.0,Q4,0.0
Test Automation Studio,2020.0,Q1,15.0
Test Automation Studio,2020.0,Q2,30.0
Test Automation Studio,2020.0,Q3,25.0
Test Automation Studio,2020.0,Q4,25.0
Test Automation Studio,2021.0,Q1,30.0
Test Automation Studio,2021.0,Q2,35.0
Test Automation Studio,2021.0,Q3,15.0
Test Automation Studio,2021.0,Q4,15.0
Test Automation Studio,2022.0,Q1,75.0
Test Automation Studio,2022.0,Q2,5.0
