,year,quarter,blog_score,studio_name
0,2014,Q1,10,Scala Studio
1,2014,Q2,10,Scala Studio
2,2014,Q3,15,Scala Studio
3,2014,Q4,15,Scala Studio
4,2015,Q2,10,Scala Studio
5,2015,Q3,5,Scala Studio
6,2015,Q4,5,Scala Studio
7,2016,Q1,15,Scala Studio
8,2016,Q2,5,Scala Studio
12,2016,Q3,10,Scala Studio
13,2016,Q4,10,Scala Studio
14,2017,Q1,25,Scala Studio
15,2017,Q2,10,Scala Studio
16,2017,Q3,10,Scala Studio
17,2017,Q4,10,Scala Studio
18,2018,Q1,40,Scala Studio
19,2018,Q2,15,Scala Studio
20,2018,Q3,5,Scala Studio
21,2018,Q4,5,Scala Studio
22,2019,Q1,10,Scala Studio
23,2019,Q2,15,Scala Studio
24,2019,Q3,5,Scala Studio
26,2019,Q4,5,Scala Studio
28,2020,Q1,15,Scala Studio
29,2020,Q2,45,Scala Studio
30,2020,Q3,40,Scala Studio
31,2020,Q4,40,Scala Studio
32,2021,Q1,15,Scala Studio
33,2021,Q2,45,Scala Studio
34,2021,Q3,60,Scala Studio
36,2021,Q4,60,Scala Studio
38,2022,Q1,5,Scala Studio
42,2015,Q2,5,Java Studio
43,2015,Q3,5,Java Studio
44,2015,Q4,5,Java Studio
45,2016,Q1,10,Java Studio
46,2016,Q2,10,Java Studio
47,2016,Q3,15,Java Studio
48,2016,Q4,15,Java Studio
49,2017,Q1,5,Java Studio
50,2017,Q3,5,Java Studio
51,2017,Q4,5,Java Studio
52,2018,Q2,10,Java Studio
53,2018,Q3,15,Java Studio
54,2018,Q4,15,Java Studio
55,2019,Q1,10,Java Studio
56,2019,Q2,5,Java Studio
57,2019,Q3,0,Java Studio
58,2019,Q4,0,Java Studio
59,2020,Q1,40,Java Studio
60,2020,Q2,35,Java Studio
61,2020,Q3,45,Java Studio
62,2020,Q4,45,Java Studio
63,2021,Q1,20,Java Studio
64,2021,Q2,15,Java Studio
66,2021,Q3,5,Java Studio
69,2021,Q4,5,Java Studio
72,2022,Q1,10,Java Studio
76,2016,Q1,5,Testing Automation Studio
77,2017,Q1,10,Testing Automation Studio
78,2018,Q1,0,Testing Automation Studio
79,2018,Q2,0,Testing Automation Studio
80,2018,Q3,0,Testing Automation Studio
81,2018,Q4,0,Testing Automation Studio
82,2019,Q2,0,Testing Automation Studio
83,2019,Q3,0,Testing Automation Studio
84,2019,Q4,0,Testing Automation Studio
85,2020,Q1,15,Testing Automation Studio
86,2020,Q2,30,Testing Automation Studio
87,2020,Q3,25,Testing Automation Studio
88,2020,Q4,25,Testing Automation Studio
89,2021,Q1,30,Testing Automation Studio
90,2021,Q2,35,Testing Automation Studio
91,2021,Q3,15,Testing Automation Studio
92,2021,Q4,15,Testing Automation Studio
93,2022,Q1,25,Testing Automation Studio
94,2019,Q1,15,DevOps Studio
95,2019,Q2,5,DevOps Studio
96,2019,Q3,25,DevOps Studio
97,2019,Q4,25,DevOps Studio
98,2020,Q1,20,DevOps Studio
99,2020,Q2,40,DevOps Studio
100,2020,Q3,35,DevOps Studio
101,2020,Q4,35,DevOps Studio
102,2021,Q1,10,DevOps Studio
103,2021,Q2,15,DevOps Studio
104,2021,Q3,20,DevOps Studio
106,2021,Q4,20,DevOps Studio
108,2022,Q1,75,DevOps Studio
109,2018,Q2,10,Marketing
110,2018,Q3,5,Marketing
111,2018,Q4,5,Marketing
112,2019,Q1,5,Marketing
113,2019,Q2,10,Marketing
114,2019,Q3,5,Marketing
115,2019,Q4,5,Marketing
116,2020,Q1,10,Marketing
117,2020,Q2,25,Marketing
118,2020,Q3,20,Marketing
119,2020,Q4,20,Marketing
120,2021,Q1,20,Marketing
121,2021,Q2,10,Marketing
122,2021,Q3,35,Marketing
123,2021,Q4,35,Marketing
124,2014,Q1,15,Lightbend CoE
125,2014,Q2,55,Lightbend CoE
126,2014,Q3,20,Lightbend CoE
127,2014,Q4,20,Lightbend CoE
128,2015,Q1,5,Lightbend CoE
129,2015,Q2,10,Lightbend CoE
130,2015,Q3,5,Lightbend CoE
131,2015,Q4,5,Lightbend CoE
132,2016,Q1,20,Lightbend CoE
133,2016,Q2,10,Lightbend CoE
134,2016,Q3,15,Lightbend CoE
135,2016,Q4,15,Lightbend CoE
136,2017,Q1,10,Lightbend CoE
137,2017,Q2,15,Lightbend CoE
138,2017,Q3,10,Lightbend CoE
139,2017,Q4,10,Lightbend CoE
140,2018,Q1,5,Lightbend CoE
141,2018,Q2,20,Lightbend CoE
142,2019,Q1,5,Lightbend CoE
143,2019,Q2,10,Lightbend CoE
144,2019,Q3,0,Lightbend CoE
145,2019,Q4,0,Lightbend CoE
146,2020,Q1,0,Lightbend CoE
147,2020,Q2,40,Lightbend CoE
148,2020,Q3,10,Lightbend CoE
149,2020,Q4,10,Lightbend CoE
150,2021,Q1,20,Lightbend CoE
151,2021,Q2,5,Lightbend CoE
153,2021,Q3,5,Lightbend CoE
155,2021,Q4,5,Lightbend CoE
157,2014,Q1,25,Management
158,2014,Q2,15,Management
159,2014,Q3,5,Management
160,2014,Q4,5,Management
161,2015,Q2,5,Management
162,2015,Q3,15,Management
163,2015,Q4,15,Management
164,2016,Q1,25,Management
165,2016,Q2,15,Management
166,2016,Q3,15,Management
167,2016,Q4,15,Management
168,2017,Q1,10,Management
169,2017,Q2,5,Management
170,2017,Q3,10,Management
171,2017,Q4,10,Management
172,2018,Q1,5,Management
173,2018,Q2,5,Management
174,2018,Q3,5,Management
175,2018,Q4,5,Management
176,2019,Q1,35,Management
177,2019,Q2,15,Management
178,2019,Q3,5,Management
179,2019,Q4,5,Management
180,2020,Q1,10,Management
181,2020,Q2,15,Management
182,2020,Q3,5,Management
183,2020,Q4,5,Management
184,2021,Q1,5,Management
185,2022,Q1,5,Management
186,2010,Q2,70,Management
187,2010,Q3,95,Management
188,2010,Q4,95,Management
189,2011,Q1,55,Management
190,2011,Q2,60,Management
191,2011,Q3,35,Management
192,2011,Q4,35,Management
193,2012,Q1,20,Management
194,2012,Q2,5,Management
195,2012,Q3,35,Management
196,2012,Q4,35,Management
197,2013,Q1,25,Management
198,2013,Q2,15,Management
199,2013,Q3,15,Management
200,2013,Q4,15,Management
201,2020,Q1,5,AI/ML Studio
202,2020,Q2,25,AI/ML Studio
203,2020,Q3,20,AI/ML Studio
204,2020,Q4,20,AI/ML Studio
205,2021,Q1,5,AI/ML Studio
206,2021,Q2,10,AI/ML Studio
207,2021,Q3,15,AI/ML Studio
208,2021,Q4,15,AI/ML Studio
209,2022,Q1,15,AI/ML Studio
210,2019,Q1,40,Rust Studio
211,2019,Q2,10,Rust Studio
212,2019,Q3,25,Rust Studio
213,2019,Q4,25,Rust Studio
214,2020,Q1,0,Rust Studio
215,2020,Q2,15,Rust Studio
216,2020,Q3,10,Rust Studio
217,2020,Q4,10,Rust Studio
218,2021,Q1,15,Rust Studio
219,2021,Q2,25,Rust Studio
220,2021,Q3,55,Rust Studio
221,2021,Q4,55,Rust Studio
222,2022,Q1,5,Rust Studio
223,2016,Q2,10,Engineering Operations
224,2018,Q1,0,Engineering Operations
225,2019,Q1,5,Engineering Operations
226,2019,Q2,5,Engineering Operations
227,2019,Q3,0,Engineering Operations
228,2019,Q4,0,Engineering Operations
229,2020,Q1,5,Engineering Operations
230,2021,Q1,5,Engineering Operations
231,2022,Q1,0,Engineering Operations
232,2019,Q1,10,Frontend Studio
233,2019,Q2,0,Frontend Studio
234,2019,Q3,0,Frontend Studio
235,2019,Q4,0,Frontend Studio
236,2020,Q2,15,Frontend Studio
238,2020,Q3,25,Frontend Studio
239,2020,Q4,25,Frontend Studio
240,2021,Q2,15,Frontend Studio
241,2021,Q3,50,Frontend Studio
242,2021,Q4,50,Frontend Studio
243,2022,Q1,0,Frontend Studio
248,2020,Q2,5,Account Management
249,2022,Q1,0,Account Management
253,2021,Q2,5,Learning and Development
254,2021,Q3,0,Learning and Development
255,2021,Q4,0,Learning and Development
256,2021,Q2,0,Agile Studio
257,2021,Q3,5,Agile Studio
260,2021,Q4,5,Agile Studio
263,2022,Q1,5,Agile Studio
264,2022,Q1,20,Interns
